Fre_ch,pwr
1.0,6.23
2.0,6.41
3.0,6.46
4.0,6.3
5.0,6.22
6.0,6.29
7.0,6.44
8.0,6.42
9.0,6.25
10.0,6.2
11.0,6.3
12.0,6.41
13.0,6.32
14.0,6.18
15.0,6.21
16.0,6.32
17.0,6.39
18.0,6.24
19.0,6.17
20.0,6.21
21.0,6.31
22.0,6.31
23.0,6.16
24.0,6.15
25.0,6.22
26.0,6.32
27.0,6.25
28.0,6.15
29.0,6.2
30.0,6.29
31.0,6.34
32.0,6.18
33.0,6.19
34.0,6.27
35.0,6.34
36.0,6.29
37.0,6.13
38.0,6.22
39.0,6.31
40.0,6.33
41.0,6.24
42.0,6.16
43.0,6.26
44.0,6.31
45.0,6.3
46.0,6.18
47.0,6.17
48.0,6.31
49.0,6.32
50.0,6.23
51.0,6.14
52.0,6.18
53.0,6.32
54.0,6.34
55.0,6.21
56.0,6.14
57.0,6.24
58.0,6.38
59.0,6.33
60.0,6.13
61.0,6.08
62.0,6.22
63.0,6.31
64.0,6.24
65.0,6.11
66.0,6.09
67.0,6.26
68.0,6.31
69.0,6.18
70.0,6.09
71.0,6.13
72.0,6.27
73.0,6.27
74.0,6.12
75.0,6.11
76.0,6.15
77.0,6.28
78.0,6.21
79.0,6.07
80.0,6.14
