Frequency(Hz),Amp(dB)
2820000000,-0.191335293
2830000000,-0.192147172
2840000000,-0.192959798
2850000000,-0.193776421
2860000000,-0.194596721
2870000000,-0.1954263
2880000000,-0.196260376
2890000000,-0.197100432
2900000000,-0.197941679
2910000000,-0.19878346
2920000000,-0.199628799
2930000000,-0.200479122
2940000000,-0.201332528
2950000000,-0.202190129
2960000000,-0.203051345
2970000000,-0.203911239
2980000000,-0.204772828
2990000000,-0.20563313
3000000000,-0.206497638
3010000000,-0.207366813
3020000000,-0.208235755
3030000000,-0.209104711
3040000000,-0.209977273
3050000000,-0.210854793
3060000000,-0.21173923
3070000000,-0.212631586
3080000000,-0.213533433
3090000000,-0.214443079
3100000000,-0.21536008
3110000000,-0.216281706
3120000000,-0.217207306
3130000000,-0.218133446
3140000000,-0.219061574
3150000000,-0.219988918
3160000000,-0.220907898
3170000000,-0.221822766
3180000000,-0.222739405
3190000000,-0.223659956
3200000000,-0.224587059
3210000000,-0.225519216
3220000000,-0.22645762
3230000000,-0.227399229
3240000000,-0.228351184
3250000000,-0.229314343
3260000000,-0.230287453
3270000000,-0.231265648
3280000000,-0.232241129
3290000000,-0.23320791
3300000000,-0.234171296
3310000000,-0.235134068
3320000000,-0.236096916
3330000000,-0.237057038
3340000000,-0.238017071
3350000000,-0.238973491
3360000000,-0.239928944
3370000000,-0.240888338
3380000000,-0.241856474
3390000000,-0.242824721
3400000000,-0.243796963
3410000000,-0.244767993
3420000000,-0.245735632
3430000000,-0.246702447
3440000000,-0.247670592
3450000000,-0.2486421
3460000000,-0.249616545
3470000000,-0.250588753
3480000000,-0.251559943
3490000000,-0.25252614
3500000000,-0.253490746
3510000000,-0.254455603
3520000000,-0.255419908
3530000000,-0.256381815
3540000000,-0.257339641
3550000000,-0.258287669
3560000000,-0.25922753
3570000000,-0.260167073
3580000000,-0.261107746
3590000000,-0.26204985
3600000000,-0.262996609
3610000000,-0.263944868
3620000000,-0.264890775
3630000000,-0.265836667
3640000000,-0.26678694
3650000000,-0.267736382
3660000000,-0.268683353
3670000000,-0.269618905
3680000000,-0.270545428
3690000000,-0.271463335
3700000000,-0.272373288
3710000000,-0.273275504
3720000000,-0.274174738
3730000000,-0.275070173
3740000000,-0.275962893
3750000000,-0.27685543
3760000000,-0.277750035
3770000000,-0.278649287
3780000000,-0.279549461
3790000000,-0.280445202
3800000000,-0.281336691
3810000000,-0.282219027
3820000000,-0.283092465
3830000000,-0.283959624
3840000000,-0.284823959
3850000000,-0.285681185
3860000000,-0.286530246
3870000000,-0.287371867
3880000000,-0.288207513
3890000000,-0.289039708
3900000000,-0.289868289
3910000000,-0.29069621
3920000000,-0.291518059
3930000000,-0.292331445
3940000000,-0.293140558
3950000000,-0.293948023
3960000000,-0.29475004
3970000000,-0.295546538
3980000000,-0.296337452
3990000000,-0.297121795
4000000000,-0.297902706
4010000000,-0.298680346
4020000000,-0.299457444
4030000000,-0.300228563
4040000000,-0.300994396
4050000000,-0.301751971
4060000000,-0.302501556
4070000000,-0.303248908
4080000000,-0.303992472
4090000000,-0.304731498
4100000000,-0.305463336
4110000000,-0.306189456
4120000000,-0.306908921
4130000000,-0.307625047
4140000000,-0.308335809
4150000000,-0.309044999
4160000000,-0.30974764
4170000000,-0.310441953
4180000000,-0.311131613
4190000000,-0.311813626
4200000000,-0.312494966
4210000000,-0.313170747
4220000000,-0.313837392
4230000000,-0.314500228
4240000000,-0.315155616
4250000000,-0.315805076
4260000000,-0.316451334
4270000000,-0.317093703
4280000000,-0.317727729
4290000000,-0.318357863
4300000000,-0.318978018
4310000000,-0.319585754
4320000000,-0.320189395
4330000000,-0.320787932
4340000000,-0.321385179
4350000000,-0.321975934
4360000000,-0.322562111
4370000000,-0.323139378
4380000000,-0.323712267
4390000000,-0.324282862
4400000000,-0.3248495
4410000000,-0.325412027
4420000000,-0.325969297
4430000000,-0.326517418
4440000000,-0.327056659
4450000000,-0.327588767
4460000000,-0.328122223
4470000000,-0.328652625
4480000000,-0.329177284
4490000000,-0.329699241
4500000000,-0.330215234
4510000000,-0.330729172
4520000000,-0.331243666
4530000000,-0.331756208
4540000000,-0.332265727
4550000000,-0.332767562
4560000000,-0.333259141
4570000000,-0.333741485
4580000000,-0.334219933
4590000000,-0.33469414
4600000000,-0.335164498
4610000000,-0.335632316
4620000000,-0.336094924
4630000000,-0.336555117
4640000000,-0.337013617
4650000000,-0.337473494
4660000000,-0.337936246
4670000000,-0.338398637
4680000000,-0.338856229
4690000000,-0.339304718
4700000000,-0.339744281
4710000000,-0.340176939
4720000000,-0.340605574
4730000000,-0.3410306
4740000000,-0.34144847
4750000000,-0.341862279
4760000000,-0.342272022
4770000000,-0.342678377
4780000000,-0.343083989
4790000000,-0.343493223
4800000000,-0.34390082
4810000000,-0.344306497
4820000000,-0.344711281
4830000000,-0.345114211
4840000000,-0.345517469
4850000000,-0.3459158
4860000000,-0.346309048
4870000000,-0.346695771
4880000000,-0.347078655
4890000000,-0.34745486
4900000000,-0.347825236
4910000000,-0.348192242
4920000000,-0.348552589
4930000000,-0.348905243
4940000000,-0.349259497
4950000000,-0.349609359
4960000000,-0.349960654
4970000000,-0.350315183
4980000000,-0.350670268
4990000000,-0.351027563
5000000000,-0.351383455
5010000000,-0.351735574
5020000000,-0.352086835
5030000000,-0.352437906
5040000000,-0.352785463
5050000000,-0.35312659
5060000000,-0.353463421
5070000000,-0.353791726
5080000000,-0.354112797
5090000000,-0.354430543
5100000000,-0.354745139
5110000000,-0.355061297
5120000000,-0.355378152
5130000000,-0.355694509
5140000000,-0.356012742
5150000000,-0.356332458
5160000000,-0.356657026
5170000000,-0.356985046
5180000000,-0.357314148
5190000000,-0.357641103
5200000000,-0.357964384
5210000000,-0.35828633
5220000000,-0.35860255
5230000000,-0.35891758
5240000000,-0.359229908
5250000000,-0.359534549
5260000000,-0.359830405
5270000000,-0.360121379
5280000000,-0.3604116
5290000000,-0.360704492
5300000000,-0.360997575
5310000000,-0.361293314
5320000000,-0.361592017
5330000000,-0.361892051
5340000000,-0.362196245
5350000000,-0.362504952
5360000000,-0.362816054
5370000000,-0.363127368
5380000000,-0.363435795
5390000000,-0.363741904
5400000000,-0.364041086
5410000000,-0.364334509
5420000000,-0.364624934
5430000000,-0.364909851
5440000000,-0.365188259
5450000000,-0.36546123
5460000000,-0.36573117
5470000000,-0.366002109
5480000000,-0.366276178
5490000000,-0.366554352
5500000000,-0.366835001
5510000000,-0.367116489
5520000000,-0.367401273
