Frequency(Hz),Amp(dB)
2740000000,-1.138872316
2750000000,-1.141113922
2760000000,-1.143392111
2770000000,-1.145635976
2780000000,-1.147910889
2790000000,-1.150184923
2800000000,-1.152469656
2810000000,-1.154743915
2820000000,-1.157004825
2830000000,-1.159289928
2840000000,-1.161530997
2850000000,-1.163796648
2860000000,-1.166112901
2870000000,-1.168396216
2880000000,-1.170635216
2890000000,-1.172904307
2900000000,-1.175141309
2910000000,-1.177368356
2920000000,-1.179582146
2930000000,-1.181845905
2940000000,-1.18407697
2950000000,-1.186334057
2960000000,-1.188572254
2970000000,-1.190806615
2980000000,-1.19303992
2990000000,-1.195298059
3000000000,-1.19757495
3010000000,-1.199769933
3020000000,-1.201993244
3030000000,-1.204199989
3040000000,-1.206495299
3050000000,-1.208739555
3060000000,-1.21096171
3070000000,-1.213214055
3080000000,-1.215475138
3090000000,-1.21766142
3100000000,-1.219886173
3110000000,-1.222046609
3120000000,-1.224202972
3130000000,-1.226403647
3140000000,-1.228604788
3150000000,-1.230796731
3160000000,-1.232937611
3170000000,-1.235120299
3180000000,-1.237274662
3190000000,-1.239443042
3200000000,-1.241586688
3210000000,-1.243728329
3220000000,-1.24585551
3230000000,-1.247990377
3240000000,-1.250106965
3250000000,-1.252264164
3260000000,-1.254365971
3270000000,-1.256521437
3280000000,-1.258652109
3290000000,-1.260795152
3300000000,-1.262935153
3310000000,-1.265035395
3320000000,-1.267173224
3330000000,-1.269309291
3340000000,-1.271480124
3350000000,-1.273655101
3360000000,-1.275792741
3370000000,-1.277894351
3380000000,-1.28003688
3390000000,-1.282128461
3400000000,-1.284257074
3410000000,-1.286375917
3420000000,-1.288475224
3430000000,-1.290530094
3440000000,-1.29260884
3450000000,-1.294666761
3460000000,-1.296723197
3470000000,-1.298773283
3480000000,-1.300818141
3490000000,-1.302829354
3500000000,-1.304848461
3510000000,-1.306896506
3520000000,-1.308895042
3530000000,-1.310919698
3540000000,-1.312943184
3550000000,-1.314977596
3560000000,-1.317013824
3570000000,-1.319053258
3580000000,-1.32110759
3590000000,-1.323153838
3600000000,-1.325211583
3610000000,-1.327229601
3620000000,-1.329272652
3630000000,-1.331320229
3640000000,-1.333323435
3650000000,-1.335360352
3660000000,-1.337412126
3670000000,-1.339466329
3680000000,-1.341481534
3690000000,-1.343469727
3700000000,-1.345454449
3710000000,-1.347455336
3720000000,-1.349442035
3730000000,-1.35139028
3740000000,-1.353361284
3750000000,-1.355305659
3760000000,-1.357262966
3770000000,-1.359211413
3780000000,-1.361132222
3790000000,-1.363081163
3800000000,-1.364994214
3810000000,-1.36693006
3820000000,-1.368872117
3830000000,-1.370801652
3840000000,-1.372749991
3850000000,-1.374682239
3860000000,-1.376634969
3870000000,-1.37858066
3880000000,-1.380569533
3890000000,-1.382538781
3900000000,-1.38453619
3910000000,-1.386467078
3920000000,-1.38844389
3930000000,-1.390387604
3940000000,-1.392307833
3950000000,-1.394265935
3960000000,-1.396245435
3970000000,-1.398226145
3980000000,-1.400210386
3990000000,-1.4021838
4000000000,-1.404139571
4010000000,-1.406130488
4020000000,-1.40811246
4030000000,-1.410082458
4040000000,-1.412070298
4050000000,-1.414105942
4060000000,-1.416118919
4070000000,-1.418104231
4080000000,-1.420080544
4090000000,-1.422065061
4100000000,-1.424057645
4110000000,-1.426018101
4120000000,-1.427993459
4130000000,-1.429945389
4140000000,-1.431923776
4150000000,-1.433888649
4160000000,-1.435870131
4170000000,-1.43780573
4180000000,-1.439748173
4190000000,-1.441708377
4200000000,-1.443689112
4210000000,-1.445633511
4220000000,-1.447575323
4230000000,-1.449522339
4240000000,-1.451472013
4250000000,-1.453427046
4260000000,-1.455398752
4270000000,-1.457385799
4280000000,-1.459401297
4290000000,-1.461435747
4300000000,-1.463431592
4310000000,-1.465461668
4320000000,-1.467472522
4330000000,-1.469494559
4340000000,-1.47148833
4350000000,-1.473440005
4360000000,-1.475437859
4370000000,-1.477447805
4380000000,-1.479481533
4390000000,-1.481458204
4400000000,-1.483426277
4410000000,-1.485331635
4420000000,-1.48727025
4430000000,-1.489172156
4440000000,-1.491083754
4450000000,-1.493021032
4460000000,-1.494912346
4470000000,-1.496803131
4480000000,-1.498691228
4490000000,-1.500614505
4500000000,-1.502540854
4510000000,-1.504435332
4520000000,-1.506341761
4530000000,-1.508254545
4540000000,-1.510167008
4550000000,-1.512077828
4560000000,-1.513995991
4570000000,-1.515955034
4580000000,-1.517915653
4590000000,-1.519853697
4600000000,-1.521771721
4610000000,-1.523691502
4620000000,-1.525621227
4630000000,-1.52756326
4640000000,-1.529464548
4650000000,-1.531400832
4660000000,-1.533331469
4670000000,-1.535206265
4680000000,-1.537063214
4690000000,-1.538956692
4700000000,-1.540806045
4710000000,-1.542690101
4720000000,-1.544506662
4730000000,-1.546385596
4740000000,-1.548237603
4750000000,-1.550047129
4760000000,-1.551853425
4770000000,-1.553597325
4780000000,-1.555418038
4790000000,-1.557254892
4800000000,-1.559055963
4810000000,-1.560851475
4820000000,-1.562653874
4830000000,-1.564500032
4840000000,-1.566298483
4850000000,-1.56809219
4860000000,-1.569910501
4870000000,-1.571742022
4880000000,-1.573569224
4890000000,-1.575463797
4900000000,-1.577335457
4910000000,-1.579203018
4920000000,-1.580994138
4930000000,-1.582842856
4940000000,-1.584657482
4950000000,-1.586495322
4960000000,-1.588328882
4970000000,-1.590164035
4980000000,-1.591961171
4990000000,-1.593730463
5000000000,-1.59560986
5010000000,-1.597414432
5020000000,-1.599214663
5030000000,-1.600996047
5040000000,-1.602814167
5050000000,-1.604684792
5060000000,-1.606549454
5070000000,-1.60837024
